09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:39.186 -> 19998,0.017944,-1.008545,-0.007935,100
09:07:39.286 -> 20098,0.013062,-1.019165,0.005737,108
09:07:39.385 -> 20198,0.023804,-1.028076,0.023071,141
09:07:39.483 -> 20298,0.003174,-1.009155,-0.001587,128
09:07:39.582 -> 20398,-0.006226,-1.016602,-0.017334,145
09:07:39.682 -> 20498,0.022217,-1.003540,-0.009399,104
09:07:39.780 -> 20598,0.004883,-1.005615,-0.014282,112
09:07:39.878 -> 20698,0.010132,-1.031128,-0.005493,145
09:07:39.978 -> 20798,0.004395,-1.032104,-0.015747,131
09:07:40.078 -> 20898,0.003662,-0.995117,-0.011108,125
09:07:40.177 -> 20998,0.008789,-1.008789,-0.009888,116
09:07:40.276 -> 21098,-0.014526,-1.002075,0.004150,181
09:07:40.375 -> 21198,0.031372,-1.015503,-0.013916,125
09:07:40.474 -> 21298,0.013672,-1.001953,-0.009888,175
09:07:40.573 -> 21398,-0.004883,-0.994141,-0.033691,143
09:07:40.671 -> 21498,0.010742,-1.011841,0.006470,128
09:07:40.771 -> 21598,0.014526,-1.024414,-0.025146,148
09:07:40.868 -> 21698,0.032227,-1.013184,-0.003784,132
09:07:40.966 -> 21798,-0.010986,-1.012817,-0.010376,181
09:07:41.064 -> 21898,-0.017090,-1.038208,-0.019409,122
09:07:41.163 -> 21998,0.002686,-1.014160,-0.004517,156
09:07:41.295 -> 22098,0.006348,-1.007935,-0.036865,113
09:07:41.394 -> 22198,-0.001587,-1.028564,-0.022095,134
09:07:41.491 -> 22298,-0.003662,-0.986206,-0.025269,122
09:07:41.590 -> 22398,0.015137,-1.004272,-0.004150,113
09:07:41.689 -> 22498,-0.006836,-1.023804,0.005981,144
09:07:41.788 -> 22598,-0.007935,-0.989624,-0.003540,144
09:07:41.886 -> 22698,0.018799,-1.013672,-0.012695,122
09:07:41.985 -> 22798,0.016846,-0.997681,-0.034424,146
09:07:42.085 -> 22898,0.019653,-0.970703,-0.029419,142
09:07:42.184 -> 22998,0.024658,-0.996704,0.000854,107
09:07:42.282 -> 23098,0.014160,-1.010376,-0.009888,158
09:07:42.382 -> 23198,0.060791,-0.998291,-0.058716,170
09:07:42.481 -> 23298,0.004639,-1.022461,-0.039673,123
09:07:42.581 -> 23398,0.031494,-1.013550,-0.001343,128
09:07:42.679 -> 23498,0.012329,-1.032837,-0.001343,137
09:07:42.779 -> 23598,0.005859,-0.995239,0.015137,111
09:07:42.878 -> 23698,0.026489,-1.030396,0.006226,143
09:07:42.976 -> 23798,0.004883,-1.019531,-0.019653,161
09:07:43.075 -> 23898,0.010376,-0.996460,-0.017944,116
09:07:43.174 -> 23998,-0.001587,-1.020630,-0.003784,102
09:07:43.272 -> 24098,0.010986,-0.999756,0.022705,113
09:07:43.372 -> 24198,0.004639,-0.989014,-0.022217,147
09:07:43.469 -> 24298,0.001221,-1.011108,0.000854,134
09:07:43.569 -> 24398,0.006958,-1.015259,0.007690,117
09:07:43.667 -> 24498,0.012451,-1.053467,0.000122,131
09:07:43.766 -> 24598,-0.014038,-1.011841,0.037720,155
09:07:43.865 -> 24698,0.011719,-1.024414,0.007812,130
09:07:43.964 -> 24798,-0.007446,-1.016968,-0.002563,111
09:07:44.063 -> 24898,0.035889,-1.009644,-0.017822,136
09:07:44.194 -> 24998,0.003784,-1.009766,-0.002197,129
09:07:44.293 -> 25098,-0.003662,-1.016113,-0.002563,129
09:07:44.392 -> 25198,0.003662,-1.000366,0.009888,101
09:07:44.492 -> 25298,-0.011963,-1.016968,-0.008301,124
09:07:44.591 -> 25398,0.011475,-1.011230,-0.008545,127
09:07:44.691 -> 25498,0.014526,-1.027100,-0.010986,134
09:07:44.790 -> 25598,-0.012451,-0.997070,0.004761,115
09:07:44.889 -> 25698,0.021240,-1.017334,0.010742,134
09:07:44.988 -> 25798,0.011230,-1.013550,-0.027344,187
09:07:45.087 -> 25898,-0.000854,-1.004395,-0.000366,120
09:07:45.186 -> 25998,0.010376,-1.000244,-0.023926,119
09:07:45.284 -> 26098,0.000366,-0.993408,-0.015625,94
09:07:45.384 -> 26198,0.020630,-1.006958,-0.006958,114
09:07:45.483 -> 26298,-0.003052,-1.030518,-0.015747,145
09:07:45.582 -> 26398,0.014160,-1.009399,-0.018677,111
09:07:45.680 -> 26498,0.004883,-1.010620,-0.014893,193
09:07:45.780 -> 26598,0.010376,-1.005615,0.000854,101
09:07:45.880 -> 26698,0.027954,-1.015137,-0.003784,157
09:07:45.980 -> 26798,0.015503,-1.016602,0.006958,114
09:07:46.079 -> 26898,0.014648,-0.996094,0.005615,144
09:07:46.179 -> 26998,0.020874,-0.998901,0.033691,83
09:07:46.278 -> 27098,0.010010,-1.011963,-0.003174,23
09:07:46.376 -> 27198,0.010010,-1.010620,-0.004761,3
09:07:46.475 -> 27298,0.009155,-1.010376,-0.004639,2
09:07:46.574 -> 27398,0.009033,-1.010864,-0.004883,1
09:07:46.674 -> 27498,0.010498,-1.010620,-0.005737,1
09:07:46.774 -> 27598,0.010010,-1.009399,-0.001953,6
09:07:46.873 -> 27698,0.013184,-1.011719,-0.002808,8
09:07:46.972 -> 27798,0.009521,-1.011963,-0.006226,3
09:07:47.070 -> 27898,0.007568,-1.009888,-0.002686,3
09:07:47.168 -> 27998,0.010742,-1.008911,-0.002441,3
09:07:47.267 -> 28098,0.009155,-1.011719,-0.006104,1
09:07:47.366 -> 28198,0.009888,-1.010864,-0.005249,7
09:07:47.465 -> 28298,0.009766,-1.010986,-0.004517,1
